"k","alpha0","alpha1","beta1"
155,0.10008684913663,0.394493563012157,0.396056888057801
156,0.100112276988083,0.39449080444336,0.39617257763644
157,0.100114027788494,0.39454714884721,0.395955298224983
158,0.100274698034967,0.394568062311641,0.395438498701316
159,0.100282104839101,0.394594057488239,0.395476542492207
160,0.100254484706101,0.394589352827085,0.395484700956016
161,0.100241541648258,0.394682056317723,0.395298350704294
162,0.100349728346902,0.395299525887589,0.395191426376928
163,0.10035681494378,0.395215391591386,0.39517054492021
164,0.100396199029599,0.395750767456558,0.394910596251098
165,0.100430533372226,0.395480555198908,0.394865428492376
166,0.100441879675229,0.396562537425685,0.394748862053654
167,0.100389123664701,0.396547079126102,0.39483583039493
168,0.100347234604155,0.396642484510393,0.395009675378117
169,0.100413222655579,0.396078222315693,0.394860862746412
170,0.100419897845717,0.396071769805113,0.394865668173694
171,0.100391877871967,0.396181980544258,0.394687030476612
172,0.100312164885861,0.395926203719387,0.394785800037044
173,0.100283100876452,0.395985854899139,0.395299276414289
174,0.100156387316394,0.396061432965983,0.39532193198548
175,0.10014987787922,0.395942038417642,0.395310497056445
176,0.100141051548632,0.396031093824993,0.395039675093031
177,0.10021653444664,0.395791311981039,0.395074501233444
178,0.100325609154774,0.395662281358688,0.39506342837527
179,0.100399450899826,0.395695943714701,0.395280517418601
180,0.100376446281938,0.395813695220155,0.395282790453259
181,0.100289959222977,0.395669498698889,0.395335271418734
182,0.100271008644829,0.395692022466071,0.395321111933345
183,0.100321550066047,0.39557517133565,0.39549786008279
184,0.100195223809186,0.395593540895845,0.395583683527096
185,0.100206480565205,0.395864447083975,0.395567422264305
186,0.100229840105139,0.395955424235224,0.395784147139468
187,0.100321351554507,0.396179291761577,0.39590852325509
188,0.100323316574694,0.396238985208681,0.395829357267481
189,0.100316212649811,0.396446267123458,0.3959183146132
190,0.100333465625405,0.396422956712687,0.396016307952623
191,0.100334350199674,0.396444680604493,0.396112652937482
192,0.100380374349213,0.395748923147335,0.396194788611518
193,0.100360369699792,0.395787623985646,0.396182626107336
194,0.100379546615302,0.395530230678977,0.395928679124119
195,0.100400340692647,0.394973232264432,0.396174216595597
196,0.100464821250899,0.394540722823407,0.396226280844573
197,0.100503387570153,0.394604532200496,0.396220961682522
198,0.100492445958987,0.394555620330181,0.396226731615823
199,0.100492726655301,0.394673259710725,0.396512632935055
200,0.100367131041194,0.394868987451816,0.39655296692408
201,0.100366271498653,0.394806324940852,0.396535204000798
202,0.100341791920548,0.394681181946561,0.396336345668794
203,0.100416008719775,0.394686863131715,0.396398832917238
204,0.100203719443801,0.394544134311112,0.396379629174453
205,0.100228598203847,0.39439527772995,0.396240273353848
206,0.10019504329018,0.394653227041175,0.39625420050637
207,0.100199211657119,0.394639520528943,0.396096533913576
